word,interpretation
альтанка,"Покрита зверху легка будівля в саду, парку і т. ін. для відпочинку й захисту від сонця, дощу"
альтана,"Те саме, що[B] альта́нка[/B]"
трельяж,"Те саме, що [B]альта́нка[/B]"
аматор,"Той, хто займається чим-небудь не як професіонал; любитель (у 2 знач.)"
любитель,"Той, хто займається улюбленою справою не як професіонал; аматор"
дилетант,"Той, хто займається мистецтвом, наукою і т. ін. не маючи спеціальної підготовки, систематичних знань; аматор"
аматорський,Прикм. до [B]ама́тор
любительський,"Зроблений любителем, любителями"
дилетантський,"зроблеий, виконаний людиною, яка не має професійної підготовки - аматором"
кустарний,"Те саме, що [B]ама""торський[/B]"
амбразура,"Отвір у стіні укріплення, оборонної споруди, у бронебашті і т. ін., через який стріляють і ведуть спостереження"
бійниця,"Отвір для стрільби у стіні оборонної споруди, бронепоїзді і т. ін"
амвон,"Підвищення в церкві перед так званими царськими вратами, з якого виголошуються проповіді"
проповідниця,"Те саме, що[B] амво́н[/B]"
казальниця,"Те саме, що [B]амво́н[/B]"
аморальний,Позбавлений моралі
неморальний,"Який порушує, не вкладається в правила, вимоги, норми прийнятої моралі, суперечить їй; аморальний"
імморальний,"Те саме, що [B]амора́льний[/B]"
ампутувати,"Робити ампутацію чого-небудь; вирізувати, відтинати"
відтинати,Відрізувати або відсікати що-небудь гострим знаряддям
ампутувати,Зробити ампутацію чого-небудь
відтяти,Відрізати або відсікти що-небудь гострим знаряддям
Амур,"У римській міфології – бог кохання, якого зображали крилатим хлопчиком з луком і стрілами"
аналіз,Розгляд чого-небудь
розгляд,"Розбір, аналіз чого-небудь"
аналізувати,"Робити аналіз; досліджувати, розкладаючи на складові частини"
розбирати,Піддавати аналізові що-небудь
проаналізувати,
розглянути,
розібрати,
анальний,Відхідниковий
відхідниковий,Прикм. до відхідник - анальний отвір прямої кишки
англієць,"Представник народу, який становить основне населення Англії"
британець,Англієць
ані́с,"Насіння (плоди) анісу, що використовуються в медицині, а також як прянощі"
ганус,"Те саме, що [B]ані́с[BUX]1[/B][/BUX]"
анісовий,Виготовлений з анісу або з його застосуванням 
ганусовий,"те саме, що анісовий"
аномальний,Який характеризується аномалією
ненормальний,"Який відхиляється від норми; не такий, як треба, як повинен бути"
неправильний,"Який не відповідає певним нормам, правилам, вимогам"
патологічний,Який своєю потворною ненормальністю відхиляється від норми
анормальний,Який відхиляється від загальної норми
анонімний,"Невідомо ким написаний, не підписаний; безіменний (про лист або твір)"
безіменний,"Який не має імені, назви, ніяк не названий"
ансамбль,"Група співаків, музикантів або танцюристів, що постійно виступає як єдиний художній колектив"
гурт,"Сукупність осіб, об'єднаних спільною метою, певними ознаками, властивостями"
група,"Сукупність осіб, об'єднаних спільною метою, ідеєю, працею і т. ін.; угруповання"
антисеміт,"Людина, що вороже ставиться до євреїв"
юдофоб,"Те саме, що[B] антисемі́т[/B]"
антитеза,Протилежність
протиставлення,"зіставлення певних явищ, вказуючи на їхню несхожість, протилежність "
античний,"Стос. до давньогрецької або давньоримської культури, мистецтва, суспільного ладу і т. ін"
класичний,Стос. до світу стародавніх греків і римлян
антрепренер,"Приватний театральний підприємець, власник театру, цирку і т. ін"
імпресаріо,"Приватний підприємець, що організовує видовищні заходи; агент, що організовує гастролі актора й діє від його імені; антрепренер"
апельсин,"Вічнозелене плодове цитрусове дерево, яке росте на Півдні – у країнах субтропічного і тропічного клімату"
помаранча,"Те саме, що [B]апельси́н[/B]"
помаранч,"Те саме, що [B]помера́нець[/B]"
апельсиновий,"(стосовний до апельсина, а також виготовлений з нього)"
помаранчевий,"(стосовний до помаранча, а також виготовлений з нього)"
аплодувати,Плескати в долоні на знак схвалення або вітання
плескати,Бити в долоні на знак схвалення або вітання
оплескувати,"Те саме, що [B]аплодува́ти[/B]"
аптекар,"Працівник аптеки, який приймає рецепти, виготовляє і відпускає ліки; фармацевт"
арбітр,"Посередник, суддя, до якого звертаються для розв'язання спорів, що не підлягають судовому розглядові; третейський суддя"
посередник,"(той, хто сприяє примиренню ворогуючих сторін)"
суддя,"У спорті – той, хто судить змагання, гру"
рефері,Суддя спортивних змагань
арена,"Круглий майданчик посередині цирку, де виступають артисти"
манеж,Арена цирку
арештувати,"Узяти кого-небудь під варту, позбавити волі"
заарештувати,"Узяти кого-небудь під варту, позбавити волі"
забрати,"Заарештувати, затримати кого-небудь"
узяти,"Схопити, силою затримати кого-небудь; заарештувати"
спіймати,"Вислідивши, розшукавши кого-небудь, затримати, заарештувати"
піймати,"Вислідити (у 1 знач.), розшукати кого-небудь, щоб затримати, заарештувати"
зловити,"Вислідивши, розшукавши кого-небудь, затримати, заарештувати"
схопити,"Раптово, несподівано затримувати, заарештовувати"
злапати,"Знайшовши, натрапивши, затримати, заарештувати того, хто переховується"
арештовувати,"Брати кого-небудь під варту, позбавляти волі"
заарештовувати,"Брати кого-небудь під варту, позбавляти волі"
забирати,"Заарештовувати, затримувати кого-небудь"
брати,"Арештовувати, затримувати кого-небудь"
аркан,"Довгий мотузок із зашморгом на кінці, за допомогою якого ловлять коней та інших тварин"
ласо,"Те саме, що [B]арка́н[/B] 1"
аркуш,Лист паперу
листок,"Те саме, що[B] лист[BUX]2[/BUX][/B]"
лист2,"Тонкий, щільний шматок або шар якого-небудь матеріалу (паперу, заліза, фанери і т. ін.)"
арнаутка,Сорт ярої пшениці з твердим і білим зерном
білотурка,"Те саме, що [B]арнау́тка[/B]"
арсенал,Склад зброї і військового спорядження
зброярня,"Приміщення, в якому виготовляється або зберігається зброя"
зброївня,Зброярня
артилерист,"Той, хто служить в артилерії (в 2 знач.)"
гарматник,"Військовослужбовець, який обслуговує гармату; артилерист"
гармаш,"Те саме, що[B] гарма́тник[/B]"
вогневик,"Артилерист, мінометник"
батареєць,"Те саме, що[B] артилери́ст[/B]"
артист,"Той, хто публічно виконує твори мистецтва (актор, музикант, співак та ін.)"
актор,Виконавець (професіонал) ролей у театральних виставах
комедіант,(про виконавця комедійних ролей або про мандрівного актора)
кумедіант,(про виконавця комедійних ролей або про мандрівного актора)
архітектор,Фахівець в галузі архітектури
будівничий,"Будівник, архітектор"
зодчий,"Художник-будівельник, архітектор"
градобудівник,Фахівець з градобудування
архітектура,"Мистецтво проектування, спорудження та художнього оздоблення будов; будівельне мистецтво"
зодчество,Мистецтво проектувати і споруджувати будівлі
асенізатор,"Людина, яка здійснює асенізацію - видалення і знешкодження нечистот"
астма,"Задишка, спричинювана деякими захворюваннями серця або бронхів; ядуха"
ядуха,"Задишка, спричинювана деякими захворюваннями серця або бронхів; астма"
задуха,"Те саме, що [B]а́стма[/B]"
удушшя,Астма
дихавиця,Астма
астматичний,Характерний для астми
ядушливий,"Який буває у хворого на ядуху (про голос, кашель тощо)"
удушливий,Який хворіє на астму
ядушний,"Те саме, що[B] яду́шливий"
дихавичний,Хворий на дихавицю
астролог,"Людина, що займається астрологією; той, хто займається астрологічним пророкуванням"
атака,Навальний напад війська на ворога
приступ,Навальний напад війська на ворога
удар,"Стрімкий напад, атака"
вдар,"Стрімкий напад, атака"
атакувати,Навально наступати на ворога
штурмувати,"(рішуче наступати на фортецю, укріплення, опорний пункт)"
атакувати,Навально наступати на ворога
безбожність,Відсутність віри в бога
безвір'я,Відсутність віри в бога
безбожництво,"Те саме, що [B]безбо""жність[/B]"
атеїст,"Прихильник атеїзму; безбожник, безвірник"
безбожник,"Людина, що не визнає існування Бога, не вірує в Бога; безвірник"
невіруючий,"Який не визнає існування Бога, не вірить в нього"
безвірник,"Людина, яка не визнає існування бога, релігію і бореться з релігійним культом"
безбожний,Який не вірує в Бога
аукціон,"Прилюдний продаж товарів, майна, коли власником їх стає той, хто дає за них найбільшу суму"
ліцитація,Аукціон
викликання,Аукціон
баба,Стара віком жінка
стара,Стара віком жінка
бабка,Пестл. до ба́ба1 2 &lt
бабратися,"Порпатися в чому-небудь рідкому, брудному (про тварин)"
барложитися,"Валятися, качатися в болоті (у 2 знач.), в калюжі"
ковбанитися,Борсатися в ковбані (у 2 знач.)
багаж,"Речі пасажирів, спаковані для перевезення різними видами транспорту"
речі,"Предмети особистого користування, зібрані й запаковані для перевезення їх в інше місце."
поклажа,"Те, що спаковане, приготовлене для перенесення, перевезення куди-небудь; багаж"
багатий,"Який має багатство, заможний; протилежне [S]бідний[/S]"
маєтний,"Те саме, що[B] бага́тий[/B] 1; заможний"
ситий,"Який живе в достатку; багатий, заможний"
грошовитий,(який має значні грошові нагромадження)
щедрий,"Наявний у значній кількості; густий, рясний"
пишний,"Який перебуває у розквіті; багатий, розвинений (про край, місцевість, країну і т. ін.)"
багатий,Який має багато чого-небудь
гойний,"Щедрий, багатий"
щедрий,"Багатий на що-небудь, чимсь"
багатий,Який має багато чого-небудь
великий,"Який набагато переважає звичайний рівень, звичайну міру"
добрий,"Значний щодо розміру, обсягу, кількості і т. ін"
щедрий,Великий розміром
щедротний,"Те саме, що[B] ще́дрий[/B]"
багатий,"Розкішний, пишний, дуже гарний"
бучний,"Розкішний, пишний"
розкішний,"Донч., Вибр., 1948, 127)"
пишний,Розкішно обставлений (про приміщення)
помпезний,"Який відзначається урочистістю, пишнотою, розрахованою на зовнішній ефект"
багато,"У великій кількості; протилежне [S]ма""ло[/S]"
багацько,"Те саме, що [B]бага́то[/B] 2"
повно,"Багато кого-, чого-небудь; протилежне мало"
видимо-невидимо,Надзвичайно багато
пребагато,У дуже великій кількості
достобіса,Дуже багато
достолиха,"Те саме, що [B]достобі́са[/B]"
хтозна-скільки,"Дуже багато; видимо-невидимо, достобіса"
чортзна-скільки,Дуже багато
незліченно,"дуже багато, настільки, що не піддається підрахунку"
чимало,"Немало, досить багато (перев. про кількість чого-небудь)"
немало,"Точно не визначена велика кількість (про міру, обсяг і т. ін.); чимало, багато."
багатенько,Досить багато
чималенько,Присл. до [B]чимале́нький[/B]
багатобожжя,"Релігія, що визнає існування багатьох богів; політеїзм"
політеїзм,"Те саме, що [B]багатобо́жжя;[/B] протилежне монотеїзм"
багатоголосий,"Який має у своєму складі багато голосів, що звучать одночасно"
стоголосий,"Утворений багатьма голосами, звуками"
стозвукий,"Утворений багатьма звуками, голосами"
багатоженство,"Форма шлюбу, при якій чоловік може бути одружений одночасно з багатьма жінками"
полігінія,"Форма шлюбу, при якій чоловік може бути одночасно одруженим з багатьма жінками; багатоженство"
багатозначний,Який має кілька або багато значень
полісемічний,Стос. до полісемії
багатозначний,"Який містить у собі натяк на що-небудь; промовистий, виразний"
промовистий,"Який зовнішніми ознаками передає почуття, настрій, на щось натякає (про стан людини, вираз обличчя і т. ін.); значущий"
красномовний,Який відзначається пишномовністю
багатомовний,Який виразно натякає на що-небудь
значущий,"Який щось означає, на щось натякає; промовистий, багатозначний (звичайно про погляд, вираз обличчя і т. ін.)"
значливий,"Те саме, що [B]значу́щий[/B]"
багатозначно,
промовисто,
красномовно,
багатомовно,
значуще,
значливо,
виразно,
багатолюдний,"Який складається з великої кількості людей; у якому, на якому в певний час перебуває багато людей"
людний,"Те саме, що багатолюдний"
велелюдний,"Те саме, що багатолюдний"
густонаселений,З великою кількістю населення
густозаселений,З великою кількістю жителів
багатомовний,Який любить багато говорити
багатослівний,"Який має звичку висловлюватися надто широко, докладно"
велемовний,Який багато говорить
великомовний,Який багато говорить
багатомужжя,"Форма шлюбу, при якій жінка може одночасно бути одруженою з багатьма чоловіками. "
поліандрія,"Форма шлюбу, при якій жінка може бути одночасно одруженою з багатьма чоловіками; багатомужжя"
багатоповерховий,Який має кілька (багато) поверхів
висотний,"Дуже високий, багатоповерховий"
багаторазовий,Який повторюється багато разів
багатократний,Який повторюється багато разів
сторазовий,Який повторюється багато разів
стократний,Який повторюється багато разів
багатолітній,"Те саме, що [B]багаторі́чний[/B]"
довголітній,Який триває багато років
довгорічний,"Те саме, що [B]багаторі́чний[/B]"
багатослів'я,"Уживання без потреби в розмові, книзі і т. ін. великої кількості слів; багатослівність"
багатослівність,"властивість надто широко, докладно говорити"
велемовність,властивість багато говорити
широкомовність,
просторікуватість,
багато,
багатство,"Велике майно, цінності, гроші"
гроші,"Капітал, статок"
капітал,"Багатство, майно"
капітали,
мільйони,
багатство,"Сукупність матеріальних цінностей (про надра землі, тваринний і рослинний світ)"
щедрість,"Багатство на що-небудь &lt;2&gt;, якість за значенням щедрий &lt;3&gt;"
щедрота,"Те саме, що [B]ще́дрість[/B]"
щедроти,"(звичайно про землю, природу та її явища)"
пишність,"Розмаїтість у барвах, забарвленні; багатобарвність, барвистість"
пишнота,"Розмаїтість у барвах, забарвленні; багатобарвність, барвистість"
багатство,
гойність,
розкіш,"Краса, пишність, яскравість чого-небудь"
пишність,
пишнота,
бундючність,"розкіш, пишнота, розраховані на зовнішній ефект"
помпезність,"(пишність, розрахована на ефект)"
багач,"Той, хто має багатство (в 1 знач.); багата людина, багатій; протилежне [S]бідняк[/S]"
багатій,"Те саме, що [B]бага́ч[/B]"
багатий,"Те саме, що [B]бага́ч[/B]"
багатир,"Те саме, що [B]бага́ч[/B]"
ситий,"Багата, заможна людина; багач"
товстосум,"Багатир, багатий ділок, підприємець"
товстопузий,"Про багату, заможну людину"
капіталіст,"Той, хто має значну суму грошей, заможна людина; багатій"
багнет,"Колюча зброя, яку звичайно насаджують на кінець дула рушниці; штик"
штик,"Те саме, що [B]багне́т[/B] 1"
багнистий,"З багнищами; болотистий, грузький"
тванистий,Багнистий
мочаруватий,З мочарами
болотистий,Багатий на болота
болотяний,Багатий на болота
заболочений,"Укритий болотами, багнистий"
багор,Довга дерев'яна тичина з металевим вістрям і гаком
гак,"Те саме, що [B]баго́р[/B]"
крюк,"Те саме, що [B]гак[/B] 1–3"
багрянець,"Густо-червоний, пурпуровий колір"
багрець,"Те саме, що [B]багря́нець[/B]"
пурпур,Темно-червоний або яскраво-червоний колір з фіолетовим відтінком
багрянь,"Багрянець, багряний колір"
багряний,"Густо-червоний, пурпуровий"
багровий,Густо-червоний
пурпурний,Який має колір пурпуру
пурпуровий,"Те саме, що [B]пурпу́рний[/B]"
порфірний,"Який має колір порфіру; темно-червоний, пурпуровий"
порфіровий,"Який має колір порфіру; темно-червоний, пурпуровий"
буряковий,Який має колір буряка
бурячковий,Який має колір буряка
багрянити,"Надавати чому-небудь густо-червоного, багряного кольору"
багрити,"Надавати чому-небудь густо-червоного, багряного кольору"
обагряти,"Забарвлювати в червоний, багряний колір або надавати червоного, багряного відтінку"
забагрянити,
обагрянити,
обагрити,
багряніти,"Набирати багряного кольору, ставати багряним"
багрянитися,"Бути, ставати багряним"
багровіти,"Набувати багрового кольору, ставати багровим"
багріти,"Набувати багряного кольору, ставати багряним"
забагряніти,
побагряніти,
забагрянитися,
забогровіти,
побагровіти,
обагритися,
побуряковіти,
бадилля,Стебла і листя трав'янистих і коренеплідних рослин
бадилиння,Збірн. до [B]бадили́на[/B]
стеблиння,"Збірн. до [B]стебли́на, стебели́на[/B]"
стебелиння,"Збірн. до [B]стебли́на, стебели́на[/B]"
бадьорий,"Сповнений енергії, сили; жвавий"
бадьористий,"Сповнений жвавості, молодецького завзяття"
свіжий,"Який має добрий вигляд, повний здоров'я, сил, енергії (про людину)"
енергійний,"Повний сили, енергії (у 3 знач.)"
бадьорий,"Який виражає жвавість, свідчить про енергію, силу"
бадьористий,Який виражає бадьорість
бравурний,"Бадьорий, жвавий, піднесений, гучний (перев. про музичний твір)"
бадьорити,"Надавати енергії, сили; створювати бадьорий настрій"
збадьорювати,"Робити бадьорим, бадьорішим"
підбадьорювати,"Додавати сили, енергії, впевненості, піднімати дух, настрій"
оживляти,"Виводити з стану млявості, байдужості; робити жвавішим, веселішим"
підживлювати,"Додавати сили, бадьорості і т. ін"
освіжати,"Знімати з кого-небудь відчуття втоми, відновлювати чиїсь сили, повертати комусь бадьорість"
збадьорити,
підбадьорити,
оживити,
підживити,
освіжити,
кріпитися,"Твердо, стійко триматися; виявляти витримку в чомусь"
мужатися,(виявляти душевну стійкість. мужність за важких обставин)
бадьоритися,"Намагатися триматися бадьоро, мати бадьорий вигляд"
храбритися,"Намагатися перебороти в собі страх, розгубленість, набирати хорошего вигляду"
храбрувати,Підбадьорювати себе
козиритися,Триматися по-молодецькому
приндитися,"Триматися по-молодецькому; бадьоритися, козиритися"
бравувати,"Удавати з себе хороброго, сміливого, навмисно легковажити небезпекою, показуючи свою сміливість"
бажаний,"Такий, якого бажають, чекають, до якого прагнуть"
жаданий,"Якого бажають, давно ждуть, про який мріють; довгожданий, жданий"
жданий,"Якого бажають, довго ждуть, про який мріють, до якого прагнуть; бажаний, жаданий"
пожаданий,"Те саме, що [B]жада́ний[/B] 1"
довгожданий,"Якого довго, з нетерпінням ждуть"
довгоочікуваний,"Те саме, що [B]довгожда́ний[/B]"
омріяний,"якого дуже чекають, сподіваються, прагнуть"
мріяний,
обітований,"Бажаний, жаданий"
бажання,"Прагнення, потяг до здійснення чого-небудь; хотіння"
хотіння,"Бажання, прагнення чого-небудь, потяг до здійснення чогось"
хіть,"Бажання, прагнення здійснити, виконати щось, домогтися чогось; охота, готовність"
настрій,"Охота, бажання робити що-небудь, займатися чимсь"
охота,"Бажання, прагнення або схильність до чого-небудь"
схотінка,"Те саме, що [B]бажа́ння[/B]"
потяг,"Настійне прагнення до чого-небудь, сильна внутрішня потреба робити щось, бути десь"
пристрасть,"Сильний потяг, пильне зацікавлення якоюсь справою, заняттям"
жага,"Прагнення до чого-небудь, до володіння чим-небудь, до досягнення якоїсь мети"
бажати,Висловлювати побажання про здійснення чого-небудь
зичити,Висловлювати побажання чого-небудь
жадати,"Виражати які-небудь побажання, зичити кому-небудь щось"
жичити,Зичити
хотіти,"Мати бажання, охоту до чогось, відчувати потребу в чому-небудь (в їжі, відпочинку і т. ін.); воліти, жадати, хтіти"
побажати,
пожадати,
базарне,
містове,
базіка,"Той, хто любить багато говорити, базікати"
базікало,"Те саме, що [B]базі́ка[/B]"
брязкало,"Про балакучу людину; базіка, базікало"
патякало,"Той, хто любить патякати"
талалай,"Той, хто багато, беззмістовно говорить"
торохкало,"Той (та), хто багато, безперестанку говорить; балакун, базіка"
просторіка,"Той, хто говорить багато, часто беззмістовно"
шарманка,"Той або та, хто багато, надокучливо говорить чи грає"
балакун,Балакуча людина
пустомеля,"То саме, що [B]пустомоло́т[/B]"
пустомолот,"Людина, яка говорить багато і беззмістовно; базіка"
пустобрех,"Брехун, базіка"
пустодзвін,"Те саме, що [B]пустомоло́т[/B]"
дзвонар,"Той, хто без потреби багато говорить; базіка, плетун"
свистун,"Пуста людина; нероба, базіка"
базікати,"Говорити багато, беззмістовно, про щось неістотне, не варте уваги"
розбазікувати,Багато базікати
патякати,"Говорити багато про щось неістотне, пусте, не варте уваги; базікати, теревенити"
розпатякувати,"Вести багатослівні, беззмістовні розмови, говорити дурниці, нісенітниці; патякати"
пасталакати,"Те саме, що [B]базі́кати[/B]"
пащекувати,"Говорити недоброзичливо, злобливо або пишномовно, беззмістовно; базікати, теревенити"
галдикати,"Вести пусті розмови; говорити про що-небудь незначне, несерйозне"
слебезувати,"Говорити багато, без упину, безладно, часто про що-небудь неістотне, нецікаве, не варте уваги"
слебізувати,"Говорити багато, без упину, безладно, часто про що-небудь неістотне, нецікаве, не варте уваги"
марнословити,"Говорити багато, беззмістовно про щось, не варте уваги; базікати, теревенити"
галакати,"Теревенити, базікати"
теревенити,"Говорити що-небудь незначне, несерйозне, пусте"
лепетати,"Говорити що-небудь несерйозне, нерозумне"
лопотати,"(говорити про щось незначне, несерйозне)"
баляндрасити,
балагурити,"Говорити, розмовляти про щось весело, дотепно, пересипаючи мову жартами"
перебендювати,"Говорити багатослівно, звичайно пересипаючи свою мову жартами"
байдуже,"не виявляючи зацікавленості, не звертаючи уваги"
байдужно,"не виявляючи зацікавленості, не звертаючи уваги"
байдужо,"не виявляючи зацікавленості, не звертаючи уваги"
байдужки,"не виявляючи зацікавленості, не звертаючи уваги"
індиферентно,"не виявляючи зацікавленості, байдуже"
